"tab_code","表章項目","cat01_code","経営形態","area_code","新旧市区町村(2015年)_北陸地方","time_code","時間軸(年次)","unit","value"
"0010","経営体数","100","農林業経営体","65211","旧松之山村","2015000000","2015年","経営体","253"
"0010","経営体数","100","農林業経営体","65212","旧浦田村","2015000000","2015年","経営体","74"
"0010","経営体数","100","農林業経営体","15211","見附市","2015000000","2015年","経営体","898"
"0010","経営体数","100","農林業経営体","65213","旧見附町","2015000000","2015年","経営体","162"
"0010","経営体数","100","農林業経営体","65214","旧上北谷村２－１","2015000000","2015年","経営体","101"
"0010","経営体数","100","農林業経営体","65215","旧北谷村","2015000000","2015年","経営体","113"
"0010","経営体数","100","農林業経営体","65216","旧葛巻村","2015000000","2015年","経営体","153"
"0010","経営体数","100","農林業経営体","65217","旧新潟村","2015000000","2015年","経営体","130"
"0010","経営体数","100","農林業経営体","65218","旧新組村２－２","2015000000","2015年","経営体","35"
"0010","経営体数","100","農林業経営体","65219","旧今町","2015000000","2015年","経営体","204"
"0010","経営体数","100","農林業経営体","15212","村上市","2015000000","2015年","経営体","2570"
"0010","経営体数","100","農林業経営体","65220","旧村上町","2015000000","2015年","経営体","20"
"0010","経営体数","100","農林業経営体","65221","旧瀬波町","2015000000","2015年","経営体","58"
"0010","経営体数","100","農林業経営体","65222","旧岩船町２－１","2015000000","2015年","経営体","43"
"0010","経営体数","100","農林業経営体","65223","旧山辺里村","2015000000","2015年","経営体","238"
"0010","経営体数","100","農林業経営体","65224","旧上海府村","2015000000","2015年","経営体","5"
"0010","経営体数","100","農林業経営体","65225","旧保内村","2015000000","2015年","経営体","152"
"0010","経営体数","100","農林業経営体","65226","旧金屋村","2015000000","2015年","経営体","196"
"0010","経営体数","100","農林業経営体","65227","旧西神納村","2015000000","2015年","経営体","87"
"0010","経営体数","100","農林業経営体","65228","旧神納村","2015000000","2015年","経営体","333"
"0010","経営体数","100","農林業経営体","65229","旧平林村","2015000000","2015年","経営体","218"
"0010","経営体数","100","農林業経営体","65230","旧岩船町２－２","2015000000","2015年","経営体","-"
"0010","経営体数","100","農林業経営体","65231","旧高根村","2015000000","2015年","経営体","201"
"0010","経営体数","100","農林業経営体","65232","旧猿沢村","2015000000","2015年","経営体","94"
"0010","経営体数","100","農林業経営体","65233","旧塩野町村","2015000000","2015年","経営体","124"
"0010","経営体数","100","農林業経営体","65234","旧三面村","2015000000","2015年","経営体","92"
"0010","経営体数","100","農林業経営体","65235","旧館腰村","2015000000","2015年","経営体","151"
"0010","経営体数","100","農林業経営体","65236","旧大川谷村","2015000000","2015年","経営体","143"
"0010","経営体数","100","農林業経営体","65237","旧中俣村","2015000000","2015年","経営体","126"
"0010","経営体数","100","農林業経営体","65238","旧黒川俣村","2015000000","2015年","経営体","120"
"0010","経営体数","100","農林業経営体","65239","旧八幡村","2015000000","2015年","経営体","81"
"0010","経営体数","100","農林業経営体","65240","旧下海府村","2015000000","2015年","経営体","88"
"0010","経営体数","100","農林業経営体","15213","燕市","2015000000","2015年","経営体","1418"
"0010","経営体数","100","農林業経営体","65241","旧燕町","2015000000","2015年","経営体","157"
"0010","経営体数","100","農林業経営体","65242","旧小池村","2015000000","2015年","経営体","157"
"0010","経営体数","100","農林業経営体","65243","旧小中川村","2015000000","2015年","経営体","157"
"0010","経営体数","100","農林業経営体","65244","旧大島村２－２","2015000000","2015年","経営体","15"
"0010","経営体数","100","農林業経営体","65245","旧松長村２－１","2015000000","2015年","経営体","76"
"0010","経営体数","100","農林業経営体","65246","旧島上村","2015000000","2015年","経営体","167"
"0010","経営体数","100","農林業経営体","65247","旧大河津村３－２","2015000000","2015年","経営体","34"
"0010","経営体数","100","農林業経営体","65248","旧地蔵堂町","2015000000","2015年","経営体","-"
"0010","経営体数","100","農林業経営体","65249","旧国上村２－１","2015000000","2015年","経営体","187"
"0010","経営体数","100","農林業経営体","65250","旧吉田町","2015000000","2015年","経営体","119"
"0010","経営体数","100","農林業経営体","65251","旧米納津村","2015000000","2015年","経営体","174"
"0010","経営体数","100","農林業経営体","65252","旧粟生津村","2015000000","2015年","経営体","125"
"0010","経営体数","100","農林業経営体","65253","旧国上村２－２","2015000000","2015年","経営体","23"
"0010","経営体数","100","農林業経営体","65254","旧弥彦村２－２","2015000000","2015年","経営体","4"
"0010","経営体数","100","農林業経営体","65255","旧和納村３－２","2015000000","2015年","経営体","23"
"0010","経営体数","100","農林業経営体","15216","糸魚川市","2015000000","2015年","経営体","1169"
"0010","経営体数","100","農林業経営体","65256","旧糸魚川町","2015000000","2015年","経営体","81"
"0010","経営体数","100","農林業経営体","65257","旧浦本村","2015000000","2015年","経営体","1"
"0010","経営体数","100","農林業経営体","65258","旧下早川村","2015000000","2015年","経営体","195"
"0010","経営体数","100","農林業経営体","65259","旧上早川村","2015000000","2015年","経営体","97"
"0010","経営体数","100","農林業経営体","65260","旧大和川村","2015000000","2015年","経営体","42"
"0010","経営体数","100","農林業経営体","65261","旧西海村","2015000000","2015年","経営体","92"
"0010","経営体数","100","農林業経営体","65262","旧大野村","2015000000","2015年","経営体","75"
"0010","経営体数","100","農林業経営体","65263","旧根知村","2015000000","2015年","経営体","90"
"0010","経営体数","100","農林業経営体","65264","旧小滝村","2015000000","2015年","経営体","1"
"0010","経営体数","100","農林業経営体","65265","旧今井村２－１","2015000000","2015年","経営体","70"
"0010","経営体数","100","農林業経営体","65266","旧能生谷村","2015000000","2015年","経営体","271"
"0010","経営体数","100","農林業経営体","65267","旧木浦村","2015000000","2015年","経営体","21"
"0010","経営体数","100","農林業経営体","65268","旧能生町","2015000000","2015年","経営体","22"
"0010","経営体数","100","農林業経営体","65269","旧磯部村","2015000000","2015年","経営体","88"
"0010","経営体数","100","農林業経営体","65270","旧青海町","2015000000","2015年","経営体","3"
"0010","経営体数","100","農林業経営体","65271","旧今井村２－２","2015000000","2015年","経営体","11"
"0010","経営体数","100","農林業経営体","65272","旧歌外波村","2015000000","2015年","経営体","-"
"0010","経営体数","100","農林業経営体","65273","旧市振村","2015000000","2015年","経営体","-"
"0010","経営体数","100","農林業経営体","65274","旧上路村","2015000000","2015年","経営体","9"
"0010","経営体数","100","農林業経営体","15217","妙高市","2015000000","2015年","経営体","1175"
"0010","経営体数","100","農林業経営体","65275","旧新井町","2015000000","2015年","経営体","78"
"0010","経営体数","100","農林業経営体","65276","旧斐太村２－１","2015000000","2015年","経営体","141"
"0010","経営体数","100","農林業経営体","65277","旧和田村２－２","2015000000","2015年","経営体","78"
"0010","経営体数","100","農林業経営体","65278","旧水上村","2015000000","2015年","経営体","103"
"0010","経営体数","100","農林業経営体","65279","旧泉村","2015000000","2015年","経営体","51"
"0010","経営体数","100","農林業経営体","65280","旧水原村","2015000000","2015年","経営体","28"
"0010","経営体数","100","農林業経営体","65281","旧平丸村","2015000000","2015年","経営体","10"
"0010","経営体数","100","農林業経営体","65282","旧上郷村","2015000000","2015年","経営体","38"
"0010","経営体数","100","農林業経営体","65283","旧原通村２－２","2015000000","2015年","経営体","44"
"0010","経営体数","100","農林業経営体","65284","旧鳥坂村","2015000000","2015年","経営体","65"
"0010","経営体数","100","農林業経営体","65285","旧矢代村２－１","2015000000","2015年","経営体","208"
